,index_character,name,poster,hero,url,group
0,1,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Aaron Davis (Earth-1610),https://static.wikia.nocookie.net/intothespiderverse/images/2/2a/Aaron_Davis_%28E-1610%29_001.png/revision/latest/scale-to-width-down/350?cb=20210612141105,Мультфильмы
1,2,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Aaron Davis (Earth-199999),https://static.wikia.nocookie.net/intothespiderverse/images/7/7e/Prowleraarondavis.jpg/revision/latest/scale-to-width-down/350?cb=20230917194744,Мультфильмы
2,3,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Aaron Davis (Earth-42),https://static.wikia.nocookie.net/intothespiderverse/images/3/38/Aaron42davis.jpg/revision/latest/scale-to-width-down/350?cb=20230917195029,Мультфильмы
3,4,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Abner Jenkins (Earth-1610),https://static.wikia.nocookie.net/intothespiderverse/images/4/41/Beetle_%28Earth-1610%29.png/revision/latest/scale-to-width-down/350?cb=20230721131524,Мультфильмы
4,5,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Adrian Toomes (Earth-42),,Мультфильмы
5,6,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Adrian Toomes (Earth-65),https://static.wikia.nocookie.net/intothespiderverse/images/0/0b/Vulture_%28Earth-65%29.png/revision/latest/scale-to-width-down/350?cb=20230807163656,Мультфильмы
6,7,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Adriano Tumino,https://static.wikia.nocookie.net/intothespiderverse/images/e/e0/Screenshot_2023-05-14_1.41.13_PM.png/revision/latest?cb=20230514184144,Мультфильмы
7,8,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Aleksei Sytsevich (Earth-42),,Мультфильмы
8,9,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Aleksei Sytsevich (Earth-616),https://static.wikia.nocookie.net/intothespiderverse/images/4/4c/Earth-616B_Storyboard.png/revision/latest/scale-to-width-down/350?cb=20230918115742,Мультфильмы
9,10,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Aleksei Sytsevich (Earth-Unknown),https://static.wikia.nocookie.net/intothespiderverse/images/7/7b/Rhino_%28Earth-Unknown%29.png/revision/latest/scale-to-width-down/350?cb=20230721164359,Мультфильмы
