,index,index_character,index_world,name,poster,hero,url,group,Unnamed: 8,url_info,description
0,1,1,0,Создать,https://github.com/yupest/guess_who/blob/main/data/add.jpg?raw=true,,https://forms.gle/ezzDeRL6WM3gbXTr7,Все,,,
1,2,1,0,Оценить,https://github.com/yupest/guess_who/blob/main/data/rating.jpg?raw=true,,https://forms.gle/kx9hjRVi6KT9TyFg7,Все,,,
2,1616,1,0,Помочь проекту,https://github.com/yupest/guess_who/blob/main/data/money.jpg?raw=true,,payment.html,Все,,,
3,3,1,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Наруто,http://pm1.narvii.com/6922/d7d029f10750725a2202169d991981866921e673r1-2048-1157v2_uhq.jpg,Аниме,,,
4,4,2,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Хината,https://wallup.net/wp-content/uploads/2019/09/08/190034-naruto-shippuden-hyuuga-hinata.jpg,Аниме,,,
5,5,3,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Пейн,https://i.pinimg.com/originals/62/0c/f3/620cf3ac585616f5b14e707529712cb3.jpg,Аниме,,,
6,6,4,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Киба,https://i.pinimg.com/736x/b0/30/55/b030554bb1186151ff4f9600a7c28c3b--naruto-shippuden-image.jpg,Аниме,,,
7,7,5,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Саске,https://wallpapertag.com/wallpaper/full/0/3/7/756467-download-sasuke-taka-wallpaper-1500x2400.jpg,Аниме,,,
8,8,6,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Какаши,https://darnado.com/wp-content/uploads/2016/03/kakashi-hatake-narutopedia-the-naruto-encyclopedia-wiki.jpg,Аниме,,,
9,9,7,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Минато,https://i.pinimg.com/originals/03/dc/8d/03dc8df1ed8b4ee2cbd95bfedef22a52.jpg,Аниме,,,
